,Trait Accession,Trait Name,odds ratio,exact p-value,adj p-value,Total number of related genes in database,Number of related genes in user/study list
0,TO_0000430,germination rate,5.59966492,1.67E-128,4.78E-126,5626,364
1,TO_0000190,seed coat color,11.71869353,9.18E-102,1.32E-99,1150,159
2,TO_0000276,drought tolerance,3.09884636,2.81E-90,2.69E-88,16360,568
3,TO_0006002,proline content,3.542854249,1.30E-80,9.36E-79,8960,382
4,TO_0002661,seed maturation,3.526010711,2.05E-61,1.18E-59,6291,280
5,TO_0000253,seed dormancy,3.760688001,6.07E-61,2.90E-59,5296,253
6,TO_0000344,days to flowering trait,2.202992881,2.43E-20,9.96E-19,6362,191
7,TO_0000112,disease resistance,1.7164021,1.30E-17,4.66E-16,15631,358
8,TO_0006001,salt tolerance,2.02825519,3.30E-17,1.05E-15,7015,195
9,TO_0006019,floral organ identity,2.486893637,6.52E-17,1.87E-15,3426,118
10,TO_0006004,raffinose content,15.53776441,1.49E-16,3.88E-15,107,20
11,TO_0000319,rubisco content,8.886252657,2.52E-16,6.03E-15,233,27
12,TO_0006018,organ identity,2.422985546,1.12E-15,2.48E-14,3387,114
13,TO_0006036,stem elongation,2.213497718,3.27E-15,6.71E-14,4362,134
14,TO_0000043,root morphology trait,1.664911813,1.81E-14,3.47E-13,13868,313
15,TO_0000495,chlorophyll content,1.84747401,7.93E-14,1.42E-12,7763,198
16,TO_0000598,protein content,2.001302398,9.30E-14,1.57E-12,5540,154
17,TO_0000259,heat tolerance,2.418662544,1.35E-13,2.15E-12,2870,97
18,TO_0000290,flavonoid content,4.425820164,3.83E-13,5.79E-12,622,38
19,TO_0000397,grain size,2.086746549,1.08E-11,1.56E-10,3897,114
20,TO_0002657,oxidative stress,1.659231428,3.06E-11,4.18E-10,9972,229
21,TO_0000128,harvest index,2.016359438,1.92E-10,2.50E-09,3806,108
22,TO_0000734,grain length,2.350598813,1.31E-09,1.64E-08,2047,68
23,TO_0000183,other miscellaneous trait,1.377325076,5.06E-08,6.05E-07,21647,409
24,TO_0000707,pericarp color,1.899167141,2.15E-07,2.47E-06,3111,84
25,TO_0000199,genic male sterility,4.493466745,3.95E-07,4.09E-06,288,18
26,TO_0000479,acid sensitivity,2.875978578,3.95E-07,4.09E-06,785,32
27,TO_0000486,seed color,8.038342933,3.99E-07,4.09E-06,103,11
28,TO_0000615,abscisic acid sensitivity,3.04768279,6.85E-07,6.78E-06,649,28
29,TO_0000225,stamen number,2.453913112,1.56E-06,1.49E-05,1087,38
30,TO_0020106,Indole-3-acetic acid content,5.12020986,1.79E-06,1.65E-05,198,14
31,281,Common bunt spike incidence,0.203000499,4.06E-06,3.64E-05,1633,5
32,TO_0006066,leaf trichome density,6.110252584,4.70E-06,4.09E-05,132,11
33,TO_0001015,photosynthetic rate,1.735264131,1.17E-05,9.85E-05,3142,78
34,TO_0001017,water use efficiency,1.802004047,1.26E-05,0.000103158,2636,68
35,TO_0000004,reversible male sterility,0.507542425,1.89E-05,0.000151046,4428,34
36,TO_0000469,days to maturity,1.528596997,2.14E-05,0.000165706,5686,124
37,TO_0000207,plant height,1.349516965,2.20E-05,0.000165969,13338,254
38,TO_0006017,meristem identity,1.533102622,3.16E-05,0.000232711,5296,116
39,TO_0002703,protist disease resistance,8.386695906,4.02E-05,0.000288382,63,7
40,TO_0000522;TO_0000523,stomatal resistance,1.49865801,4.69E-05,0.00032862,5696,122
41,TO_0000036,hybrid incompatibility,2.975818336,5.16E-05,0.000352576,449,19
42,TO_0000163,auxin sensitivity,2.273184802,5.97E-05,0.000398571,952,31
43,TO_0000366,reproductive growth time,4.993443591,0.000143708,0.000937371,130,9
44,TO_0000187,anther color,6.43267644,0.000185808,0.001185044,80,7
45,TO_0000437,male sterility,0.736490372,0.000236608,0.00147623,13612,153
46,TO_0000519,rooting depth,33.48308051,0.000251172,0.001533755,9,3
