,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
0,GO:0045038,Protein Import Into Chloroplast Thylakoid Membrane,28.12493118634737,3.247855505707766e-53,6.950410782214618e-50,122,58
1,GO:0015996,Chlorophyll Catabolic Process,20.245949732376996,5.0553256905635586e-49,5.409198488903008e-46,152,60
2,GO:0010027,Thylakoid Membrane Organization,8.859101909899403,1.1418113172534663e-43,8.144920729741393e-41,366,81
3,GO:0008219,Cell Death,7.1562458070575605,3.0547396758359546e-43,1.6342857265722358e-40,499,93
4,GO:0009768,"Photosynthesis, Light Harvesting In Photosystem I",14.054483209468758,1.1304671976588129e-40,4.838399605979719e-38,186,58
5,GO:0080167,Response To Karrikin,4.39320062127132,8.817780250221833e-38,3.145008289245787e-35,1018,125
6,GO:0010196,Nonphotochemical Quenching,18.641454867854428,1.4737937656598444e-37,3.9423983231400836e-35,125,47
7,GO:0009737,Response To Abscisic Acid,2.10786389391455,1.4264750635939519e-37,3.9423983231400836e-35,6880,419
8,GO:0010363,Regulation Of Plant-type Hypersensitive Response,11.157985924572902,7.445476301679725e-37,1.7703688095105122e-34,223,59
9,GO:0006970,Response To Osmotic Stress,3.098992482212576,1.3230929488077075e-36,2.831418910448494e-34,2120,189
10,GO:0009765,"Photosynthesis, Light Harvesting",21.435740308432372,2.2357029814425026e-36,4.349458527533596e-34,105,43
11,GO:0009750,Response To Fructose,9.805676643971509,2.0223376532124413e-35,3.606502148228854e-33,254,61
12,GO:0009769,"Photosynthesis, Light Harvesting In Photosystem II",18.717039628119593,1.4711364833988778e-34,2.4217169803643065e-32,114,43
13,GO:0010304,PSII Associated Light-harvesting Complex II Catabolic Process,13.34135184536268,1.8744754973554136e-34,2.8652696888147036e-32,166,50
14,GO:0010067,Procambium Histogenesis,10.454211895725958,7.357407782914758e-34,1.0496568436958388e-31,222,56
15,GO:0009416,Response To Light Stimulus,3.0399692844229396,3.9509236569368905e-32,5.284360391153091e-30,1922,169
16,GO:0043972,Histone H3-K23 Acetylation,11.065298604680992,8.994723976393943e-31,1.0693727394157244e-28,186,49
17,GO:0043971,Histone H3-K18 Acetylation,11.065298604680992,8.994723976393943e-31,1.0693727394157244e-28,186,49
18,GO:0098542,Defense Response To Other Organism,5.949239533666876,1.453620464433567e-29,1.6015899971253237e-27,448,72
19,GO:0010305,Leaf Vascular Tissue Pattern Formation,4.162607968793536,1.496813081425536e-29,1.6015899971253237e-27,867,102
20,GO:0009409,Response To Cold,2.174905020123494,2.860726404341554e-28,2.9152164310909164e-26,4383,280
21,GO:0006979,Response To Oxidative Stress,2.520567601451178,3.340722526942956e-28,3.249611912571784e-26,2763,204
22,GO:0009644,Response To High Light Intensity,6.281436575732525,8.144839703853048e-27,7.578242159237183e-25,368,62
23,GO:0009651,Response To Salt Stress,2.033738534972801,1.391439732203723e-26,1.240700427881653e-24,5194,311
24,GO:0006468,Protein Phosphorylation,1.8869461810844272,2.7092415492654615e-26,2.319110766171235e-24,6867,381
25,GO:0009408,Response To Heat,2.259261765094417,1.087504513885954e-25,8.95099869121516e-24,3469,231
26,GO:0031539,Positive Regulation Of Anthocyanin Metabolic Process,13.101203171998906,9.298839073478655e-24,7.370190969349748e-22,114,34
27,GO:0043067,Regulation Of Programmed Cell Death,4.532214483139856,1.2797586637891876e-23,9.781012644674506e-22,573,73
28,GO:0010087,Phloem Or Xylem Histogenesis,4.027544376731302,4.552781339626896e-23,3.3596386437246748e-21,706,81
29,GO:0019222,Regulation Of Metabolic Process,5.458252074658421,1.4777632608623266e-22,1.0541377927484596e-20,387,58
30,GO:0015995,Chlorophyll Biosynthetic Process,5.711222967934377,2.754207377417975e-22,1.9012915444111182e-20,353,55
31,GO:0043433,Negative Regulation Of DNA-binding Transcription Factor Activity,3.919953664189425,3.726350052478908e-22,2.4919965975952698e-20,714,80
32,GO:0009734,Auxin-activated Signaling Pathway,2.44503980009789,8.082049525557652e-22,5.241086662028295e-20,2241,162
33,GO:0010154,Fruit Development,4.547035518496338,2.6748339519536608e-21,1.6835719579943628e-19,508,65
34,GO:0006559,L-phenylalanine Catabolic Process,13.73634835945049,6.026419845108373e-21,3.6847252767234056e-19,94,29
35,GO:0009742,Brassinosteroid Mediated Signaling Pathway,1.7869816247226546,1.0215714313198495e-19,6.072674619512438e-18,6147,327
36,GO:0015979,Photosynthesis,3.0968580219863067,2.619513811987746e-19,1.515070150717237e-17,1038,94
37,GO:0006952,Defense Response,1.528896767442952,3.371621857510057e-19,1.8987554671240847e-17,13450,606
38,GO:0044154,Histone H3-K14 Acetylation,4.26590980067971,3.5568210276624035e-19,1.9516915382557802e-17,512,62
39,GO:0044030,Regulation Of DNA Methylation,4.669113181594041,4.633316352102561e-19,2.47882424837487e-17,427,56
40,GO:0080188,Gene Silencing By RNA-directed DNA Methylation,5.167504241456691,8.258876303886404e-19,4.310730558613879e-17,349,50
41,GO:0009908,Flower Development,2.1232925213021003,3.0643660184758767e-18,1.561367447509137e-16,2872,182
42,GO:0018298,Protein-chromophore Linkage,4.463799915440801,3.317421956928145e-16,1.6509960436805187e-14,388,49
43,GO:0010600,Regulation Of Auxin Biosynthetic Process,9.333205559099161,3.7053123828752936e-16,1.802129204398438e-14,116,27
44,GO:0009611,Response To Wounding,1.8391972409057569,4.939885509068105e-15,2.349189997645721e-13,3904,216
45,GO:0009740,Gibberellic Acid Mediated Signaling Pathway,2.5230863499418086,6.83234828413527e-15,3.178527245228147e-13,1318,99
46,GO:1901259,Chloroplast RRNA Processing,11.948319709355133,1.2615997790785179e-14,5.744305377080911e-13,75,21
47,GO:0046244,Salicylic Acid Catabolic Process,12.79896485971125,1.8818792752041493e-14,8.390045101951832e-13,68,20
48,GO:0009414,Response To Water Deprivation,1.7642516392928569,2.6725560393982015e-14,1.1671979437371738e-12,4383,233
49,GO:0009738,Abscisic Acid-activated Signaling Pathway,2.1153705331901995,3.053338118143961e-14,1.3068287145656153e-12,2172,138
50,GO:0009753,Response To Jasmonic Acid,2.216093282884903,3.9544637700099866e-14,1.6593240132983082e-12,1851,123
51,GO:0009641,Shade Avoidance,4.658810718561349,9.296917378621645e-14,3.826039075048139e-12,297,39
52,GO:0050691,Regulation Of Defense Response To Virus By Host,18.186545729402873,1.1743136616640298e-13,4.741568369737781e-12,43,16
53,GO:0045893,"Positive Regulation Of Transcription, DNA-templated",1.749311408016444,4.686439939749137e-13,1.8572187909376205e-11,4087,216
54,GO:0048511,Rhythmic Process,15.34421768707483,8.59214999315728e-13,3.343127451883014e-11,48,16
55,GO:0048255,MRNA Stabilization,0.16064760148766488,1.411865437668485e-12,5.3006877835272946e-11,1513,8
56,GO:0031347,Regulation Of Defense Response,2.5491382640833393,1.3879238379356778e-12,5.3006877835272946e-11,1052,80
57,GO:0046686,Response To Cadmium Ion,1.7910686113391447,1.9280873954524133e-12,7.113977631496835e-11,3470,188
58,GO:0019430,Removal Of Superoxide Radicals,7.161791999491661,2.0361190718109533e-12,7.385245446907525e-11,127,24
59,GO:0009819,Drought Recovery,6.245276261937244,3.765979016979226e-12,1.3431991827225905e-10,154,26
60,GO:0009649,Entrainment Of Circadian Clock,3.774106408800846,5.604594840460617e-12,1.9662021243583147e-10,385,42
61,GO:0006355,"Regulation Of Transcription, DNA-templated",1.5721608856426599,7.675827813646133e-12,2.6493986324520523e-10,6137,292
62,GO:0042742,Defense Response To Bacterium,1.477897896919753,8.131963594099218e-12,2.762286046249576e-10,8764,391
63,GO:0000303,Response To Superoxide,6.997508556744442,8.7104658110727e-12,2.912562005577434e-10,124,23
64,GO:0009685,Gibberellin Metabolic Process,4.472925124278693,9.122482068734393e-12,3.003401788783323e-10,268,34
65,GO:0010244,Response To Low Fluence Blue Light Stimulus By Blue Low-fluence System,4.113779666810913,1.0448332633814637e-11,3.387792702479291e-10,314,37
66,GO:0080149,Sucrose Induced Translational Repression,43.77886443901114,1.5968724332359313e-11,5.025451481066019e-10,17,10
67,GO:0006971,Hypotonic Response,43.77886443901114,1.5968724332359313e-11,5.025451481066019e-10,17,10
68,GO:0050832,Defense Response To Fungus,1.6892007955046455,1.883799451623283e-11,5.842508444164964e-10,4100,210
69,GO:0010119,Regulation Of Stomatal Movement,2.2981371460299833,2.1021295459604047e-11,6.426510326221809e-10,1289,89
70,GO:0009867,Jasmonic Acid Mediated Signaling Pathway,2.0144446507000615,2.1579013881038517e-11,6.504097141608792e-10,1971,120
71,GO:0006552,Leucine Catabolic Process,14.807442348991401,3.3052077580020366e-11,9.689239180992271e-10,43,14
72,GO:0010243,Response To Organonitrogen Compound,14.807442348991401,3.3052077580020366e-11,9.689239180992271e-10,43,14
73,GO:0009704,De-etiolation,3.8490695128626164,5.826776743337512e-11,1.6850408419921994e-09,333,37
74,GO:0010017,Red Or Far-red Light Signaling Pathway,3.116099224179031,8.500175296666381e-11,2.425383351315474e-09,523,48
75,GO:0046274,Lignin Catabolic Process,4.891991164718437,9.366695773694155e-11,2.603211552689025e-09,204,28
76,GO:0042744,Hydrogen Peroxide Catabolic Process,2.581737931034483,9.365643959452285e-11,2.603211552689025e-09,856,66
77,GO:0009733,Response To Auxin,1.7289278499109693,1.0183639483483524e-10,2.793972883930095e-09,3390,178
78,GO:0042754,Negative Regulation Of Circadian Rhythm,10.228027210884354,1.151600037724926e-10,3.119524152824483e-09,64,16
79,GO:0010099,Regulation Of Photomorphogenesis,3.7824514550641273,1.6121987633117886e-10,4.293392226383681e-09,329,36
80,GO:0009413,Response To Flooding,8.995260263172714,1.6250690202667202e-10,4.293392226383681e-09,75,17
81,GO:0010928,Regulation Of Auxin Mediated Signaling Pathway,3.8753813663663035,5.161031907694661e-10,1.3469034490812896e-08,295,33
82,GO:0042538,Hyperosmotic Salinity Response,2.576545582676661,5.607550102265126e-10,1.445802074559924e-08,792,61
83,GO:0043254,Regulation Of Protein-containing Complex Assembly,11.299514764610738,5.706441830887524e-10,1.4537839902499167e-08,52,14
84,GO:0009820,Alkaloid Metabolic Process,1.864289050769273,8.625324530048551e-10,2.1715522934475176e-08,2207,125
85,GO:0090228,Positive Regulation Of Red Or Far-red Light Signaling Pathway,17.744894164759724,9.953906040568358e-10,2.4769022007925914e-08,30,11
86,GO:0009693,Ethylene Biosynthetic Process,3.5064295485636117,1.0344035321608345e-09,2.5443948952002137e-08,352,36
87,GO:0009639,Response To Red Or Far Red Light,3.3617716189810927,1.0647027838694653e-09,2.5891635880461996e-08,386,38
88,GO:0045727,Positive Regulation Of Translation,0.24386061342113616,1.084903533184717e-09,2.6086444505789825e-08,1501,12
89,GO:0009938,Negative Regulation Of Gibberellic Acid Mediated Signaling Pathway,2.4185534194140046,1.1517998744926798e-09,2.7387241460159277e-08,895,65
90,GO:0080037,Negative Regulation Of Cytokinin-activated Signaling Pathway,4.801384342607747,1.2858096931483356e-09,3.023772245425756e-08,185,25
91,GO:0016925,Protein Sumoylation,2.210735091201114,1.3419343015866228e-09,3.1214558754297534e-08,1169,78
92,GO:0009585,"Red, Far-red Light Phototransduction",2.97268122321158,1.8541984278630547e-09,4.266650145835416e-08,500,44
93,GO:0010121,Arginine Catabolic Process To Proline Via Ornithine,27.57246061922868,2.2057780580142047e-09,4.917046920989998e-08,19,9
94,GO:0006593,Ornithine Catabolic Process,27.57246061922868,2.2057780580142047e-09,4.917046920989998e-08,19,9
95,GO:0019544,Arginine Catabolic Process To Glutamate,27.57246061922868,2.2057780580142047e-09,4.917046920989998e-08,19,9
96,GO:0007623,Circadian Rhythm,1.9718473636527842,2.386962515245603e-09,5.2660822501294745e-08,1671,100
97,GO:0010336,Gibberellic Acid Homeostasis,3.0866813706410645,3.697843435574742e-09,8.074882604214233e-08,439,40
98,GO:1903508,Positive Regulation Of Nucleic Acid-templated Transcription,3.365375410284464,4.55714322122674e-09,9.850794437803256e-08,355,35
99,GO:0017148,Negative Regulation Of Translation,4.295612375126524,4.930699646286805e-09,1.0447224993122538e-07,212,26
100,GO:0009800,Cinnamic Acid Biosynthetic Process,4.295612375126524,4.930699646286805e-09,1.0447224993122538e-07,212,26
101,GO:0006587,Serotonin Biosynthetic Process From Tryptophan,9.135048808290755,5.557464610029184e-09,1.1659778691629856e-07,61,14
102,GO:0009699,Phenylpropanoid Biosynthetic Process,2.112911962426072,8.588796805437038e-09,1.7844684624888603e-07,1219,78
103,GO:0010031,Circumnutation,4.791461526417425,1.25503159114557e-08,2.582468851011077e-07,163,22
104,GO:0042793,Plastid Transcription,8.256312629442899,1.6473280626810755e-08,3.3574114801309534e-07,66,14
105,GO:0042542,Response To Hydrogen Peroxide,2.3575557508388303,2.152352985248232e-08,4.3453164041803933e-07,831,59
106,GO:0010286,Heat Acclimation,1.8631058026368674,2.8262773288077686e-08,5.652554657615537e-07,1797,102
107,GO:0071215,Cellular Response To Abscisic Acid Stimulus,3.5854217854217856,4.451484202072582e-08,8.82053351151419e-07,268,28
108,GO:0010239,Chloroplast MRNA Processing,0.28519635903875284,4.960334645673729e-08,9.738638662148422e-07,1394,13
109,GO:0010233,Phloem Transport,2.4130465145928053,5.222088227803974e-08,1.0159335279545912e-06,730,53
110,GO:0042752,Regulation Of Circadian Rhythm,2.3811973387485836,6.451859342668359e-08,1.2438719813793051e-06,739,53
111,GO:0016567,Protein Ubiquitination,1.5271715051395776,6.695857971351201e-08,1.2793871480974617e-06,4279,200
112,GO:0080156,Mitochondrial MRNA Modification,0.14222767632843797,6.821008968311134e-08,1.291766300193436e-06,858,4
113,GO:0009640,Photomorphogenesis,2.331042067638163,7.834808807511476e-08,1.4707448112346105e-06,768,54
114,GO:0009631,Cold Acclimation,2.450489241675403,8.105473649796979e-08,1.5083229226578727e-06,665,49
115,GO:0045493,Xylan Catabolic Process,5.548494886436026,8.473629168801026e-08,1.5632384845891548e-06,111,17
116,GO:0010629,Negative Regulation Of Gene Expression,3.2087404095600816,8.772961093675382e-08,1.6046270718346424e-06,328,31
117,GO:2000762,Regulation Of Phenylpropanoid Metabolic Process,3.5151358152616385,1.099195711539371e-07,1.99345662940191e-06,263,27
118,GO:0010114,Response To Red Light,2.6657403666588504,1.120037138307996e-07,2.0141844335958922e-06,527,42
119,GO:0051607,Defense Response To Virus,0.40247772435875057,1.3250163517479457e-07,2.3629458272838363e-06,1980,26
120,GO:1900425,Negative Regulation Of Defense Response To Bacterium,3.374064974064974,1.4019567847535533e-07,2.479493817663309e-06,283,28
121,GO:0009410,Response To Xenobiotic Stimulus,3.2765565264882577,1.4956927880498727e-07,2.6235922675628913e-06,301,29
122,GO:0010104,Regulation Of Ethylene-activated Signaling Pathway,2.9930834103456117,1.5223825082076357e-07,2.648698022410033e-06,372,33
123,GO:0009607,Response To Biotic Stimulus,2.4938773933035803,1.599038123609089e-07,2.7596303100995567e-06,614,46
124,GO:0002758,Innate Immune Response-activating Signal Transduction,0.4142423868451266,1.7004206915044604e-07,2.9038857813310605e-06,2072,28
125,GO:0010218,Response To Far Red Light,2.1306323623280914,1.7097645254566056e-07,2.9038857813310605e-06,975,63
126,GO:0006783,Heme Biosynthetic Process,5.215307566684812,1.8576846754183504e-07,3.1302718152718657e-06,117,17
127,GO:0042753,Positive Regulation Of Circadian Rhythm,5.163625045139244,2.1063770793845505e-07,3.521599179596045e-06,118,17
128,GO:0055129,L-proline Biosynthetic Process,13.12846279196089,2.490615943904693e-07,4.131719472834142e-06,30,9
129,GO:0016102,Diterpenoid Biosynthetic Process,3.554812996302358,2.6160285128325706e-07,4.306385398047462e-06,241,25
130,GO:0009959,Negative Gravitropism,4.262689548715155,3.0548318942562096e-07,4.990336071533045e-06,164,20
