,Gene Accession,Gene Name,Ontology Term,Preferred Name,Evidence,Network URL
0,TRAESCS3D02G141500,ATHB-15,0000061,Stem solidness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G141500&keyword=%220000061%22
1,TRAESCS3B02G386500,RMD5,0000061,Stem solidness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3B02G386500&keyword=%220000061%22
2,TRAESCS3D02G347800,RMD5,0000061,Stem solidness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G347800&keyword=%220000061%22
3,TRAESCS1D02G440900,SIGC,0000061,Stem solidness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1D02G440900&keyword=%220000061%22
4,TRAESCS1D02G018400,TRAESCS1D02G018400,0000061,Stem solidness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1D02G018400&keyword=%220000061%22
5,TRAESCS1D02G155200,TRAESCS1D02G155200,0000061,Stem solidness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1D02G155200&keyword=%220000061%22
6,TRAESCS2B02G147300,TRAESCS2B02G147300,0000061,Stem solidness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G147300&keyword=%220000061%22
7,TRAESCS7A02G095300,WHY1,0000061,Stem solidness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS7A02G095300&keyword=%220000061%22
8,TRAESCS4A02G395700,WHY1,0000061,Stem solidness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4A02G395700&keyword=%220000061%22
9,TRAESCS2B02G122900,AGAL3,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2B02G122900&keyword=%220000072%22
10,TRAESCS2A02G336000,ALDH10A9,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS2A02G336000&keyword=%220000072%22
11,TRAESCS5B02G210100,ALDH7B4,0000072,Grain hardness,GWAS_0-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5B02G210100&keyword=%220000072%22
12,TRAESCS5A02G213600,ALDH7B4,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G213600&keyword=%220000072%22
13,TRAESCS5D02G218400,ALDH7B4,0000072,Grain hardness,GWAS_1-0,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G218400&keyword=%220000072%22
14,TRAESCS5A02G320300,APRR5,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5A02G320300&keyword=%220000072%22
15,TRAESCS5D02G326200,APRR5,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS5D02G326200&keyword=%220000072%22
16,TRAESCS4D02G322500,ARF14,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS4D02G322500&keyword=%220000072%22
17,TRAESCS1D02G378900,ARF14,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1D02G378900&keyword=%220000072%22
18,TRAESCS1A02G372300,ARF14,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS1A02G372300&keyword=%220000072%22
19,TRAESCS3D02G260100,ARF14,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G260100&keyword=%220000072%22
20,TRAESCS3B02G293000,ARF14,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3B02G293000&keyword=%220000072%22
21,TRAESCS3A02G259900,ARF14,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3A02G259900&keyword=%220000072%22
22,TRAESCS3D02G141500,ATHB-15,0000072,Grain hardness,GWAS_0-1,https://knetminer.com/ws/wheatknet/genepage?list=TRAESCS3D02G141500&keyword=%220000072%22
