,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
0,TO_0000112,disease resistance,2.8360689874087397,1.5673787949850125e-149,4.95291699215264e-147,15631,1091
1,TO_0000276,drought tolerance,2.395388999040241,5.102686224062206e-103,8.062244234018286e-101,16360,1011
2,TO_0000696,starch content,4.191825126692383,2.696043354953749e-82,2.839832333884616e-80,2641,301
3,TO_0000598,protein content,2.677345188628523,3.3047511588283807e-60,2.6107534154744207e-58,5540,417
4,TO_0000227,root length,2.446271915390913,4.690866415279687e-59,2.9646275744567626e-57,7165,492
5,TO_0002657,oxidative stress,2.1695866735469616,4.425444900975437e-55,2.33073431451373e-53,9972,606
6,TO_0002712,stay green trait,41.32014289640011,1.89453729148696e-53,8.552482630141134e-52,91,52
7,TO_0020115,chlorophyll fluorescence quenching,43.270704302548644,5.573947479825254e-44,2.2017092545309753e-42,72,42
8,TO_0000387,plant trait,21.770073453502967,6.893900681187506e-44,2.420525128061391e-42,126,52
9,TO_0000295,chlorophyll b content,17.718844566712516,1.6103085123954604e-43,5.088574899169655e-42,154,56
10,TO_0000303,cold tolerance,2.245653366096961,2.82937722404569e-35,8.128029116349436e-34,5104,333
11,TO_0020116,photochemical quenching,3.4496543973026133,2.8353428002763635e-30,7.466402707394423e-29,1332,132
12,TO_0000707,pericarp color,2.4726238733740176,9.234189816871563e-30,2.2446184477933953e-28,3111,225
13,TO_0012002,leaf chlorophyll content,5.644756824658767,1.9370007527930326e-29,4.372087413447131e-28,488,75
14,TO_0000397,grain size,2.284807897699391,2.6566763341553395e-29,5.596731477287248e-28,3897,261
15,TO_0000430,germination rate,2.0497321476510977,3.2989180973868394e-29,6.515363242339008e-28,5626,338
16,TO_0000339,stem thickness,12.238173291209273,5.080801475899272e-28,9.44431333167159e-27,148,42
17,TO_0000128,harvest index,2.1914182743269026,1.81847843551424e-25,3.1924399201249997e-24,3806,246
18,TO_0000183,other miscellaneous trait,1.5085857129162623,7.633912588584885e-25,1.2696401989435915e-23,21647,935
19,TO_0000326,leaf color,5.33502177960128,6.959634633720151e-24,1.0996222721277838e-22,429,63
20,TO_0006002,proline content,1.7108068058060024,8.991854178749396e-23,1.3530599621356233e-21,8960,452
21,TO_0000495,chlorophyll content,1.7355520238023738,1.756929020973483e-21,2.5235889573982752e-20,7763,399
22,TO_0020117,non photochemical quenching,3.1220898846347844,2.192106003466789e-21,3.011763030850024e-20,1142,104
23,TO_0000580,cytoplasmic male sterility,0.26215064927580345,4.94237077352858e-21,6.50745485181263e-20,3674,32
24,TO_0000071,anthocyanin content,2.764278432120489,1.028521063087861e-20,1.3000506237430562e-19,1500,122
25,TO_0012004,quantum yield,2.372440745015589,2.0450117611027487e-19,2.485475832724879e-18,2158,152
26,TO_0000036,hybrid incompatibility,4.590217690494142,2.2764678374275653e-19,2.6643105060263357e-18,449,58
27,TO_0006001,salt tolerance,1.7183858519369286,4.838246035305679e-19,5.46030623984498e-18,7015,359
28,TO_0020097,stomatal opening,1.9530545818117826,7.751190291056315e-18,8.446124593013087e-17,3766,220
29,TO_0000181,seed weight,2.20607184164237,1.3396619837833067e-17,1.4111106229184164e-16,2415,159
30,TO_0000522;TO_0000523,stomatal resistance,1.7543969330445635,2.329258737511458e-17,2.3743411646890993e-16,5696,299
31,TO_0000325,soluble protein content,3.1375124680487105,5.302769121900057e-17,5.236484507876306e-16,871,80
32,TO_0006036,stem elongation,1.8510686930501876,6.754193382542832e-17,6.467651845101622e-16,4362,242
33,TO_0000271,inflorescence length,11.713116989364604,2.4167367684459056e-16,2.2461435847909006e-15,87,24
34,TO_0000731,lignin content,2.541001511929184,2.979841557995189e-16,2.6903712352185134e-15,1444,109
35,TO_0020068,beta-glucan content,38.35690968443961,3.835849932682638e-16,3.3670238297992047e-15,27,15
36,TO_0000158,red light sensitivity,9.8731948865646,4.1972813977040613e-16,3.58470519371482e-15,107,26
37,TO_0000194,globular embryo,0.3530222382792136,7.533924675705445e-16,6.265053151376107e-15,3772,44
38,TO_0000462,gelatinization temperature,10.09918211559433,1.355349020210669e-14,1.0981802317604394e-13,93,23
39,TO_0000255,sheath blight disease resistance,14.231953079334716,1.8444369753381246e-14,1.4571052105171186e-13,60,19
40,TO_0000310,self-incompatibility,2.256779018355003,6.08845939829418e-14,4.692568706977953e-13,1715,116
41,TO_0000391,seed size,1.8804441683889317,1.5027252726012837e-13,1.13062187176668e-12,3156,179
42,TO_0000043,root morphology trait,1.4202349844107336,1.936427859817042e-13,1.4230493109353144e-12,13868,588
43,TO_0000207,plant height,1.4125027807473296,9.716771762998874e-13,6.9784088116082824e-12,13338,564
44,TO_0006019,floral organ identity,1.8053861788617886,1.347466758337604e-12,9.462211014104063e-12,3426,187
45,TO_0000253,seed dormancy,1.6358772594824138,1.674545631774847e-12,1.1503400426975036e-11,5296,262
46,TO_0001017,water use efficiency,1.921527324187744,1.7833428659623727e-12,1.1990135013704464e-11,2636,153
47,TO_0002674,tryptophan content,14.028625850340136,2.498280950700953e-12,1.6447016258781272e-11,51,16
48,TO_0001018,transpiration rate,1.8815033674600168,2.753983753427796e-12,1.776038502210579e-11,2813,160
49,TO_0000333,sugar content,2.411532718920295,5.832582374661002e-12,3.686192060785753e-11,1163,84
50,TO_0000919,grain weight,1.9127968130731412,1.0402357824060606e-11,6.445382494908141e-11,2471,143
51,TO_0000241,leaf number,2.1609291508092108,1.3938174673320734e-11,8.470121532248754e-11,1582,103
52,TO_0002699,lycopene content,1.6172774037755746,1.601899779030041e-11,9.55094962591496e-11,5100,250
53,TO_0006067,aphid resistance,3.5754138347144226,2.6375207669346363e-11,1.543438078428417e-10,404,42
54,TO_0001015,photosynthetic rate,1.7496140749148694,1.583019722429712e-10,9.095167859777982e-10,3142,167
55,TO_0002647,starch digestibility,10.95620239390642,1.9826433498767819e-10,1.1187773188590412e-09,57,15
56,TO_0020100,nitrate uptake,2.2644846247222135,2.8492091933637414e-10,1.5795615878998988e-09,1173,80
57,TO_0000196,amylose content,4.6037773310500585,3.229146927652212e-10,1.7593283261001705e-09,215,28
58,TO_0002639,shoot branching,1.8289912158974897,5.696271390170867e-10,3.0508843377864304e-09,2429,135
59,TO_0006054,arsenic concentration,1.732349165463158,2.1416954185144163e-09,1.1279595870842592e-08,2862,151
60,TO_0002759,grain number,1.7708953187504848,2.5085169749482266e-09,1.2994940394813765e-08,2578,139
61,TO_0000479,acid sensitivity,2.4613630744614836,4.52373619280909e-09,2.30564618859302e-08,785,58
62,TO_0002746,fruit weight,3.216771961073539,5.1013128938352265e-09,2.55875376897132e-08,391,37
63,TO_0006038,floral organ number,2.0122300645453333,8.188200825401093e-09,4.04292415754179e-08,1474,90
64,TO_0002677,brassinosteroid sensitivity,3.7936867425078726,8.43329559475432e-09,4.0998790891421e-08,264,29
65,TO_0002637,leaf size,1.6862697879184105,1.0039040533413904e-08,4.8065709220587786e-08,2954,152
66,TO_0002661,seed maturation,1.4643903367310591,1.0875379600639922e-08,5.129283513137635e-08,6291,281
67,TO_0000004,reversible male sterility,1.5531540249180371,1.1243769363609417e-08,5.2250457630890823e-08,4428,210
68,TO_0000434,root activity,2.9381316657197845,2.9192787511730363e-08,1.3369450512618542e-07,436,38
69,TO_0001006,adventitious root number,2.9690893153819915,5.1926906383249714e-08,2.3441289167295584e-07,409,36
70,TO_0000346,tiller number,2.0036106426892704,1.0327991729985938e-07,4.5966836432050094e-07,1264,77
71,TO_0000343,grass weed,9.914945652173913,1.193208642381204e-07,5.236860152673062e-07,45,11
72,TO_0000607,ash content,2.5961812954507018,2.3229156424853737e-07,9.97173810177092e-07,527,41
